Busca,Tempo,Máximo de nós simultâneos na memória,Número de nós expandidos,Número de nós comida expandidos,Número de nós no caminho,Número de nós comida no caminho,Goal
Greedy Search - Manhattan,0.4067573547363281,76,195,142,173,140,1
A* Search - Manhattan,2.6095328330993652,118,1265,1249,185,184,1
Greedy Search - Ghost Avoidance Euclidean,5.773325681686401,136,2778,2116,103,71,1
A* Search - Ghost Avoidance Euclidean,3.8956186771392822,149,1851,1730,247,246,1
A* Search - Wavefront Heuristic,3.554490804672241,143,1475,1459,185,184,1
Greedy Search - Wavefront Heuristic,0.20341753959655762,54,78,23,79,24,1
Hill-Climbing  - Manhattan,0.06261968612670898,2,6,6,6,6,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.03820991516113281,1,9,9,9,9,0
Hill-Climbing  - Wavefront,0.3658299446105957,2,158,136,159,137,1
Simulated Annealing  - Wavefront,4.107773780822754,1,2001,1861,660,550,1
BFS,0.9797918796539307,33,421,274,30,14,1
DFS,1.1181063652038574,78,532,429,292,221,1
Greedy Search - Manhattan,0.10564494132995605,22,39,11,30,11,1
A* Search - Manhattan,6.123755931854248,143,2834,2183,174,163,1
Greedy Search - Ghost Avoidance Euclidean,0.11400628089904785,21,38,11,30,11,1
A* Search - Ghost Avoidance Euclidean,6.1172566413879395,167,2838,2183,188,177,1
A* Search - Wavefront Heuristic,7.003463506698608,150,2832,2183,174,163,1
Greedy Search - Wavefront Heuristic,0.0840146541595459,20,29,14,30,14,1
Hill-Climbing  - Manhattan,0.03913688659667969,1,2,1,2,1,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.007359743118286133,1,2,1,2,1,0
Hill-Climbing  - Wavefront,0.1237344741821289,2,29,11,30,11,1
Simulated Annealing  - Wavefront,1.070941686630249,1,459,283,396,260,1
BFS,23.30416989326477,81,5632,4311,268,173,1
DFS,7.855841875076294,590,1957,1520,1310,1033,1
Greedy Search - Manhattan,12.194956064224243,170,2939,2249,520,349,1
A* Search - Manhattan,20.82264542579651,318,5327,4209,358,351,1
Greedy Search - Ghost Avoidance Euclidean,16.393186569213867,231,4166,3179,540,403,1
A* Search - Ghost Avoidance Euclidean,22.8633713722229,350,5358,4247,500,493,1
A* Search - Wavefront Heuristic,23.99528408050537,352,5237,4170,358,351,1
Greedy Search - Wavefront Heuristic,1.1294567584991455,118,267,161,268,162,1
Hill-Climbing  - Manhattan,0.3169984817504883,2,54,46,54,46,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.05075979232788086,1,5,5,5,5,0
Hill-Climbing  - Wavefront,1.0545399188995361,2,267,172,268,173,1
Simulated Annealing  - Wavefront,8.15596079826355,1,2001,1880,635,542,0
BFS,15.444770574569702,82,3724,2868,104,94,1
DFS,17.847671508789062,662,4414,3432,840,678,1
Greedy Search - Manhattan,0.7730345726013184,59,172,120,144,98,1
A* Search - Manhattan,5.742663145065308,183,1403,1389,104,103,1
Greedy Search - Ghost Avoidance Euclidean,4.944507598876953,84,1137,829,150,106,1
A* Search - Ghost Avoidance Euclidean,2.868356704711914,98,687,659,112,111,1
A* Search - Wavefront Heuristic,8.254660844802856,194,1409,1386,104,103,1
Greedy Search - Wavefront Heuristic,0.5328526496887207,52,103,85,104,86,1
